id,nombre,subregion,zona_dificultad,puntos_sello,es_fluvial,lat,lon,historia
cisneros,Cisneros,Nordeste,Media,30,False,6.538,-75.088,"El pueblo del túnel de La Quiebra y del ferrocarril de Antioquia: aquí la ingeniería venció a la montaña en 1929. Hoy es parada dulce de moteros rumbo al Nordeste, famosa por sus panderos."
remedios,Remedios,Nordeste,Media,30,False,7.028,-74.694,"Fundada en 1560, es una de las poblaciones más antiguas del departamento y corazón de la minería de oro de veta. Selvas, historia y calor: el Nordeste profundo."
santo-domingo,Santo Domingo,Nordeste,Media,30,False,6.473,-75.165,"Pueblo empinado y frío del Nordeste, cuna del escritor Tomás Carrasquilla. Sus calles coloniales y sus miradores sobre el cañón del Nus son puro paisaje paisa de novela."
segovia,Segovia,Nordeste,Media,30,False,7.079,-74.702,"La capital aurífera de Antioquia: aquí el oro se vive, se talla y se sufre desde el siglo XIX. Pueblo intenso y valiente incrustado en la selva del Nordeste."
vegachi,Vegachí,Nordeste,Media,30,False,6.773,-74.799,"Joven municipio de la troncal del Nordeste, entre cañaduzales y ganaderías. Tierra caliente y franca, paso obligado entre Yalí y Remedios."
yali,Yalí,Nordeste,Media,30,False,6.676,-74.84,"Pueblito tranquilo de montañas suaves, café y panela. Su parque sombreado y su gente sin afán son el descanso perfecto en la ruta del Nordeste."
yolombo,Yolombó,Nordeste,Media,30,False,6.598,-75.014,"Señorial y antigua, fue una de las grandes provincias del oro colonial. Su iglesia imponente y sus calles empinadas cuentan cuatro siglos de historia minera y arriera."
angostura,Angostura,Norte,Media,30,False,6.885,-75.335,"Patria chica del padre Marianito, santo de los antioqueños. Colgada en las montañas del Norte entre cañones y cafetales, su fe y su paisaje mueven igual de fuerte."
belmira,Belmira,Norte,Media,30,False,6.605,-75.666,"El páramo motero por excelencia: a más de 2.500 metros, entre frailejones y truchas. De sus montañas baja el agua que toma Medellín; el frío del sello de Belmira no se olvida."
briceno,Briceño,Norte,Media,30,False,7.113,-75.55,"Pequeño y aguerrido, encaramado sobre el cañón del río Cauca. Sus trochas de montaña y su historia dura lo hacen un sello de respeto en el Norte antioqueño."
campamento,Campamento,Norte,Media,30,False,6.979,-75.298,"Entre Yarumal y Anorí, un pueblo de niebla, caña y silencio. Su parque y su templo de piedra premian la subida por carreteras que serpentean el cañón."
carolina-del-principe,Carolina del Príncipe,Norte,Media,30,False,6.724,-75.283,"El pueblito jardín del Norte: limpio, empedrado y señorial, cuna de Juanes. Rodeado de embalses y bosques de niebla, es de los rincones más fotogénicos del departamento."
donmatias,Donmatías,Norte,Media,30,False,6.486,-75.395,"Tierra de confecciones y lecherías en el altiplano norte. Su prosperidad textil y sus vacas holstein conviven a 2.200 metros, a un paso del embalse Riogrande."
entrerrios,Entrerríos,Norte,Media,30,False,6.566,-75.517,"Entre los ríos Grande y Chico, un valle lechero de postal: praderas verdes, niebla mañanera y el embalse que refleja las montañas. Parada fría y hermosa del Norte."
gomez-plata,Gómez Plata,Norte,Media,30,False,6.68,-75.22,"Balcón sobre el cañón del Porce, tierra de caña, café y represas. Su clima templado y sus charcos lo hacen escondite favorito de los moteros del Norte."
guadalupe,Guadalupe,Norte,Media,30,False,6.815,-75.24,"Famoso por el salto de Guadalupe, una de las caídas de agua más imponentes de Antioquia. Pueblo pequeño de gente grande, colgado entre hidroeléctricas y montañas."
ituango,Ituango,Norte,Media,30,False,7.171,-75.764,"El gigante del Norte: montañas bravas que caen al Cauca, la hidroeléctrica más grande del país y trochas que exigen todo. Llegar a Ituango en moto es una hazaña que pocos cuentan."
san-andres-de-cuerquia,San Andrés de Cuerquia,Norte,Media,30,False,6.917,-75.674,"Pueblito de calles empinadas camino a Ituango, incrustado en el cañón del río San Andrés. Tierra de caña, mulas y valentía."
san-jose-de-la-montana,San José de la Montaña,Norte,Media,30,False,6.85,-75.683,"A 2.550 metros entre pastos y niebla, es uno de los municipios más fríos y apacibles de Antioquia. Lecherías, truchas y un silencio de páramo que reconforta."
san-pedro-de-los-milagros,San Pedro de los Milagros,Norte,Media,30,False,6.46,-75.557,Tierra del Señor de los Milagros y de la mejor leche del altiplano. Su basílica atrae peregrinos y su alto es clásico de las rodadas dominicales desde Medellín.
betania,Betania,Suroeste,Cercana,20,False,5.746,-75.977,"En las faldas del Citará, cafetales de vértigo y balcones que miran al Chocó. Pueblo pequeño de café grande: de aquí salen algunos de los granos premiados del país."
betulia,Betulia,Suroeste,Cercana,20,False,6.115,-75.984,"Montañosa y arriera, entre el Cauca y las cumbres del Suroeste. Tierra de café, caña y caminos que exigen buen pulso en las curvas."
caramanta,Caramanta,Suroeste,Cercana,20,False,5.549,-75.643,"En el límite con Caldas, a 2.050 metros de niebla y tradición: sus tejedoras, su plaza empedrada y su aire de páramo lo hacen rincón de otra época."
ciudad-bolivar,Ciudad Bolívar,Suroeste,Cercana,20,False,5.85,-76.02,"La despensa cafetera del Suroeste, grande y comercial, con arquitectura de colonización intacta. Su farallón del Citará y sus fondas hacen la ruta inolvidable."
caceres,Cáceres,Bajo Cauca,Lejana,40,False,7.578,-75.352,"Uno de los pueblos más antiguos de Antioquia, fundado en 1576 a orillas del río Cauca. Tierra caliente de mineros y pescadores donde la troncal a la Costa se vuelve puro trópico: el sello de Cáceres sabe a río, oro y llanura."
caucasia,Caucasia,Bajo Cauca,Lejana,40,False,7.987,-75.198,"La capital del Bajo Cauca, ganadera y ribereña, levantada junto al Cauca ancho y lento. Es el gran puerto de paso hacia la Costa: motos, mulas y ganado se cruzan bajo un sol que no perdona."
el-bagre,El Bagre,Bajo Cauca,Lejana,40,False,7.597,-74.809,"Pueblo minero por excelencia, hijo de la fiebre del oro del Nechí. Llegar en moto es internarse en la selva del nordeste bajocaucano, donde las dragas y los barequeros siguen buscando fortuna."
nechi,Nechí,Bajo Cauca,Lejana,40,False,8.094,-74.776,"En la esquina más lejana del Bajo Cauca, donde el río Nechí le entrega sus aguas al Cauca. Tierra anfibia de ciénagas y pesca: uno de los sellos más remotos y con más mérito del pasaporte."
san-roque,San Roque,Nordeste,Media,30,False,6.486,-75.019,"Tierra montañosa entre los ríos Nare y Nus, de café, caña y cordialidad. Sus corregimientos como San José del Nus fueron hitos del ferrocarril."
buritica,Buriticá,Occidente,Media,30,False,6.72,-75.907,Tierra de oro desde tiempos precolombinos: los indígenas ya lo sacaban de estas montañas. Hoy conviven la gran minería y un pueblito colonial colgado sobre el cañón del Cauca.
caicedo,Caicedo,Occidente,Media,30,False,6.406,-75.983,"Pueblo cafetero y pacífico del Occidente, famoso por su declaración como territorio de paz. Sus montañas entre Anzá y Urrao regalan una de las trochas más bonitas del suroccidente antioqueño."
canasgordas,Cañasgordas,Occidente,Media,30,False,6.865,-76.028,"Sobre la vía al mar, entre el cañón del río Sucio y montañas cafeteras. Pueblo de clima amable y balcones floridos, antesala del Urabá para todo el que viaja en dos ruedas."
dabeiba,Dabeiba,Occidente,Media,30,False,7.001,-76.261,"Donde la montaña antioqueña se despide y empieza la selva del Urabá. Última estación del clima templado en la vía al mar: de aquí en adelante todo es bajada, calor y plátano."
ebejico,Ebéjico,Occidente,Media,30,False,6.326,-75.766,"A un salto de Medellín pero con alma de pueblo viejo: cañones, café y las playas del río Cauca en Sevilla. Clásico de la media rodada occidental."
frontino,Frontino,Occidente,Media,30,False,6.776,-76.131,"Grande y montañoso, con páramo propio y salida a las selvas del Atrato. Cuna de arrieros y cafeteros, con el musgo del Occidente profundo en cada tapia."
concordia,Concordia,Suroeste,Cercana,20,False,6.046,-75.908,"Balcón sobre el Cauca, cuna del maestro Salvo Ruiz y tierra del festival de la trova. Café, tapias blancas y uno de los miradores más hermosos del Suroeste."
fredonia,Fredonia,Suroeste,Cercana,20,False,5.928,-75.672,"Bajo el cerro Bravo y el cerro Combia, tierra cafetera señorial de casonas y balcones. Clásico absoluto del Suroeste, con charcos y miradores a la vuelta de cada curva."
hispania,Hispania,Suroeste,Cercana,20,False,5.799,-75.906,"El municipio más joven y uno de los más pequeños de Antioquia, plano y cálido entre cafetales. Parada dulce y rápida en el corredor de Andes."
jardin,Jardín,Suroeste,Cercana,20,False,5.599,-75.819,"Fundado en 1863 entre cafetales, es de los pueblos más hermosos de Colombia: plaza de sillas de colores, basílica de piedra y la garrucha que cruza la montaña. Joya mayor del Suroeste."
jerico,Jericó,Suroeste,Cercana,20,False,5.792,-75.786,"La Atenas del Suroeste: cuna de la santa Laura Montoya y del carriel, con más de 15 templos y casonas de colores. Cultura, fe y paisaje en su máxima expresión."
la-pintada,La Pintada,Suroeste,Cercana,20,False,5.744,-75.607,"El cruce de caminos del sur: aquí el Cauca se abre paso entre farallones y el calor aprieta. Punto de encuentro motero por excelencia entre Medellín, Manizales y el Suroeste."
giraldo,Giraldo,Occidente,Media,30,False,6.681,-75.951,"Pueblito de un solo cerro y mil vistas sobre el cañón del Cauca, en la vía al túnel del Toyo. Sus tapias blancas y su silencio lo hacen joya escondida del Occidente."
heliconia,Heliconia,Occidente,Media,30,False,6.207,-75.734,"A espaldas de Medellín, tierra de sal desde tiempos indígenas: sus salinas dieron vida a la región antes que el oro. Trochas verdes y cercanas para escapar de la ciudad."
liborina,Liborina,Occidente,Media,30,False,6.677,-75.812,"Entre el Cauca y la cordillera, tierra de tamarindo, café y pesca. Sus hamacas frente al río y su calor seco son descanso ganado en la ruta del cañón."
olaya,Olaya,Occidente,Media,30,False,6.626,-75.812,"El municipio más pequeño y uno de los más calientes de Antioquia, a orillas del Cauca. Sus mangos, su puente de Occidente cercano y su tranquilidad absoluta son su encanto."
peque,Peque,Occidente,Media,30,False,7.021,-75.91,"Remoto y valiente, colgado en las montañas que miran al Cauca camino del Paramillo. Llegar a Peque es trocha pura: un sello que se gana con polvo y valor."
sabanalarga,Sabanalarga,Occidente,Media,30,False,6.849,-75.817,"Balcón alto sobre el cañón del Cauca, con el embalse de Hidroituango a sus pies. Tierra de arrieros que aún bajan a lomo de mula hasta el río."
san-jeronimo,San Jerónimo,Occidente,Media,30,False,6.443,-75.727,"El charco de Medellín: quebradas, hostales y sol eterno a una hora de la ciudad. Primer respiro del Occidente cercano y parada obligada de toda rodada de domingo."
santa-fe-de-antioquia,Santa Fe de Antioquia,Occidente,Media,30,False,6.556,-75.828,"La ciudad madre: capital de Antioquia hasta 1826, cuatro siglos de calles empedradas, iglesias coloniales y el puente de Occidente. Patrimonio nacional y reina del turismo motero."
amaga,Amagá,Suroeste,Cercana,20,False,6.039,-75.702,"Tierra de carbón y ferrocarril: sus minas alimentaron la industria antioqueña por un siglo. Puerta del Suroeste, entre guaduales y la memoria del viejo tren."
andes,Andes,Suroeste,Cercana,20,False,5.657,-75.879,"El corazón cafetero del Suroeste profundo, cuna del caricaturista Ricardo Rendón. Comercial y montañera, es la base para conquistar Jardín y las trochas del Citará."
angelopolis,Angelópolis,Suroeste,Cercana,20,False,6.11,-75.711,"Pequeño y minero, escondido entre las montañas del carbón a un paso de Medellín. Sus trochas frías por La Estación son secreto de los moteros de finde."
santa-rosa-de-osos,Santa Rosa de Osos,Norte,Media,30,False,6.643,-75.46,"La ciudad eterna del Norte: fría, culta y religiosa, cuna del poeta Porfirio Barba Jacob. Su altiplano a 2.550 metros es tierra de leche, papa y neblina."
toledo,Toledo,Norte,Media,30,False,7.01,-75.692,"Diminuto y valiente, sobre las laderas que caen al Cauca camino del Nudo de Paramillo. Caña, café y una carretera de vértigo: sello de los difíciles."
valdivia,Valdivia,Norte,Media,30,False,7.165,-75.439,Balcón entre la montaña y el Bajo Cauca: en pocos kilómetros se baja del frío al calor total. Su puente sobre el Cauca y la troncal a la Costa lo hacen paso épico.
yarumal,Yarumal,Norte,Media,30,False,6.964,-75.417,"La cuna de Epifanio Mejía, el poeta del himno antioqueño. Comercial y fría, es la capital del Norte: su alto de Ventanas es reto y rito de todo motero que sube a la Costa."
abriaqui,Abriaquí,Occidente,Media,30,False,6.632,-76.064,"Escondido entre las montañas del Occidente, pequeño y silencioso, entre páramos y truchas. Uno de los municipios menos poblados de Antioquia: sello de conocedores."
anza,Anzá,Occidente,Media,30,False,6.303,-75.854,"A orillas del Cauca, entre Betulia y Santa Fe, tierra caliente de mangos y pesca. Pueblito humilde y franco donde la carretera abraza el río."
armenia,Armenia,Occidente,Media,30,False,6.156,-75.786,"Armenia Mantequilla, pueblito colonial del Occidente cercano, entre cañones y cafetales. Su nombre dulce y sus balcones de colores premian la trocha desde Ebéjico."
sopetran,Sopetrán,Occidente,Media,30,False,6.501,-75.744,"Colonial y frutal, entre tamarindos y ceibas centenarias. Sus charcos del río Aurra y su sol de tierra caliente lo hacen hermano inseparable de Santa Fe en toda escapada."
uramita,Uramita,Occidente,Media,30,False,6.899,-76.174,"Joven y montañoso, sobre el río que le da nombre, en plena vía al mar. Tierra de cañones profundos y gente recia camino de Urabá."
abejorral,Abejorral,Oriente,Cercana,20,False,5.789,-75.428,"Señorial y cafetero, en el límite con Caldas: casonas de dos pisos, balcones llenos de flores y una historia de colonización que fundó medio eje cafetero."
alejandria,Alejandría,Oriente,Cercana,20,False,6.376,-75.141,"Pequeño y dulce, entre los embalses del oriente: tierra de panela, charcos y silencio. Su cañón del Nare esconde playas de río que pocos conocen."
argelia,Argelia,Oriente,Cercana,20,False,5.731,-75.141,"En el rincón más apartado del Oriente, entre selvas y cañones camino del Samaná. Pueblo pequeño de historia dura y naturaleza desbordada: sello de los valientes."
cocorna,Cocorná,Oriente,Cercana,20,False,6.058,-75.185,"La tierra del agua: cascadas, charcos y ríos cristalinos a lado y lado de la autopista. Refugio verde donde el Oriente se vuelve selva y las moscas de pescar vuelan."
concepcion,Concepción,Oriente,Cercana,20,False,6.394,-75.257,"La Concha: pueblito patrimonio de calles empedradas y tapias coloniales intactas, cuna de José María Córdova. Uno de los rincones mejor conservados de toda Antioquia."
el-carmen-de-viboral,El Carmen de Viboral,Oriente,Cercana,20,False,6.083,-75.333,"La capital de la cerámica: sus vajillas pintadas a mano decoran las casas de medio país. Universitario, artístico y montañero, con el páramo de Vida y Plata a la espalda."
el-penol,El Peñol,Oriente,Cercana,20,False,6.219,-75.243,El pueblo que renació: el viejo Peñol quedó bajo el embalse en 1978 y el nuevo se levantó a su orilla. Su réplica del pueblo viejo y su malecón cuentan la historia del sacrificio por la energía.
el-retiro,El Retiro,Oriente,Cercana,20,False,6.062,-75.503,"Bosques de niebla, carpinteros y las primeras casonas de tierra fría saliendo de Medellín. Elegante y maderero, con el embalse La Fe y Fizebad como postales."
el-santuario,El Santuario,Oriente,Cercana,20,False,6.137,-75.264,"Agrícola y devoto, la despensa de Antioquia: de sus tierras sale buena parte de la papa y la zanahoria del departamento. Pueblo trabajador de plaza enorme y fe firme."
granada,Granada,Oriente,Cercana,20,False,6.143,-75.185,Pueblo mártir y ejemplo de resiliencia: renació del conflicto con memoria y dignidad. Sus aguas cristalinas del Calderas y su gente admirable hacen de este sello uno de los más significativos.
guarne,Guarne,Oriente,Cercana,20,False,6.28,-75.441,El primer peaje del Oriente y tierra de flores y fondas. Su alto de La Virgen es el calentamiento de toda rodada que sale de Medellín hacia el altiplano.
guatape,Guatapé,Oriente,Cercana,20,False,6.232,-75.159,El pueblo de los zócalos: cada casa cuenta una historia en relieve de colores frente al embalse verde. La piedra del Peñol y sus 740 escalones lo hicieron famoso en el mundo entero.
la-ceja,La Ceja,Oriente,Cercana,20,False,6.028,-75.429,"Ordenada y floreciente, entre cultivos de hortensias y crisantemos que se exportan al mundo. Puerta del altiplano sur, con clima perfecto y fondas legendarias."
la-union,La Unión,Oriente,Cercana,20,False,5.974,-75.361,"La capital de la papa, fría y laboriosa, en el altiplano más alto del Oriente. Sus cultivos en terrazas y su niebla mañanera son paisaje puro camino a Sonsón."
marinilla,Marinilla,Oriente,Cercana,20,False,6.174,-75.339,"La Esparta antioqueña: cuna de próceres, guitarras y semana santa solemne. Colonial y religiosa, hermana rival de Rionegro desde tiempos de la independencia."
narino,Nariño,Oriente,Cercana,20,False,5.609,-75.176,"En el extremo sur del Oriente, colgado sobre el cañón del río Samaná. Remoto, verde y valiente: la trocha desde Sonsón es de las que hacen leyenda."
rionegro,Rionegro,Oriente,Cercana,20,False,6.155,-75.374,"La ciudad de la independencia: aquí se firmó la constitución de 1863 y nació José María Córdova. Hoy es el corazón económico del Oriente, con su catedral y su historia intactas."
san-carlos,San Carlos,Oriente,Cercana,20,False,6.188,-74.988,La capital hidroeléctrica de Colombia: sus aguas mueven buena parte de la energía del país. Renació del conflicto y hoy sus cascadas y charcos son destino de paz.
san-francisco,San Francisco,Oriente,Cercana,20,False,5.964,-75.101,"Selva, agua y silencio en el Oriente lejano, sobre la autopista vieja a Bogotá. Tierra humilde que guarda algunas de las cascadas más hermosas del departamento."
san-luis,San Luis,Oriente,Cercana,20,False,6.043,-74.994,"Bosques húmedos, ríos cristalinos y el mármol de sus canteras. En plena autopista Medellín-Bogotá, es la puerta del Magdalena Medio y paraíso de charcos."
san-rafael,San Rafael,Oriente,Cercana,20,False,6.294,-75.028,El pueblo del agua dulce: el río Guatapé corre cristalino entre playas de arena blanca y piedras gigantes. Uno de los destinos de charco más queridos por los moteros.
san-vicente-ferrer,San Vicente Ferrer,Oriente,Cercana,20,False,6.282,-75.332,"Agrícola y empinado, tierra de fique y tomate en las lomas del altiplano. Pueblo sencillo y auténtico donde el Oriente conserva su alma campesina."
sonson,Sonsón,Oriente,Cercana,20,False,5.71,-75.31,"El gran patriarca del sur: de aquí salió la colonización que pobló Caldas, Quindío y Risaralda. Casonas señoriales, nieblas del páramo y una historia que pesa en cada esquina."
montebello,Montebello,Suroeste,Cercana,20,False,5.946,-75.523,"Empinado y humilde, entre Santa Bárbara y El Retiro, tierra fría de fique y maíz. Sus trochas de montaña son atajo secreto entre el sur y el Oriente."
pueblorrico,Pueblorrico,Suroeste,Cercana,20,False,5.792,-75.84,"Colgado en la montaña cafetera entre Tarso y Andes, pequeño y hospitalario. Su nombre lo dice todo: rico en café, en paisaje y en gente noble."
salgar,Salgar,Suroeste,Cercana,20,False,5.964,-75.976,Tierra cafetera marcada por la avalancha de 2015 y levantada de nuevo con coraje. Sus montañas del Citará y su café de altura son testimonio de resiliencia paisa.
santa-barbara,Santa Bárbara,Suroeste,Cercana,20,False,5.875,-75.567,"En el alto de Minas, donde el frío del páramo se despide rumbo al Cauca. Cafetera y panelera, con el cerro Tusa —la pirámide natural más famosa del país— como vecino."
tamesis,Támesis,Suroeste,Cercana,20,False,5.664,-75.714,"Al pie del cerro de Cristo Rey, tierra de petroglifos precolombinos y cafetales eternos. Arte rupestre, cascadas y balcones: el sur profundo en su mejor versión."
tarso,Tarso,Suroeste,Cercana,20,False,5.865,-75.822,"Pequeño balcón sobre el río Cauca, de clima perfecto y plaza florecida. Sus miradores al cañón y su tranquilidad lo hacen favorito de las rodadas sin afán."
titiribi,Titiribí,Suroeste,Cercana,20,False,6.062,-75.794,Tierra del oro y el carbón que encendieron la industria antioqueña: de sus minas del Zancudo salió parte de la riqueza del siglo XIX. Historia minera pura a una hora de Medellín.
urrao,Urrao,Suroeste,Cercana,20,False,6.317,-76.134,"El valle del Penderisco, grande y libre, con el páramo del Sol como techo de Antioquia. Tierra del poeta Chava González y de las trochas más épicas del suroccidente."
valparaiso,Valparaíso,Suroeste,Cercana,20,False,5.615,-75.624,"Balcón del Cauca en el sur, cuna de la familia del general Uribe Uribe. Caña, café y un mirador natural sobre La Pintada que corta la respiración."
venecia,Venecia,Suroeste,Cercana,20,False,5.964,-75.735,"A los pies del cerro Tusa, la pirámide natural más alta del mundo. Cafetales, casonas de colonización y el pueblito que todo motero fotografía con el cerro de fondo."
apartado,Apartadó,Urabá,Lejana,40,False,7.883,-76.626,"La capital del eje bananero, comercial y pujante, corazón económico de Urabá. Entre platanales infinitos, es la gran ciudad del mar antioqueño."
arboletes,Arboletes,Urabá,Lejana,40,False,8.85,-76.427,"Playa y volcán: su volcán de lodo es único en Antioquia y sus costas miran al Caribe. El sello más al norte del pasaporte, donde el departamento se vuelve mar."
carepa,Carepa,Urabá,Lejana,40,False,7.755,-76.653,"Bananera y trabajadora, sede del aeropuerto de Urabá. Entre canales y platanales, es parte del corredor verde que alimenta al mundo."
chigorodo,Chigorodó,Urabá,Lejana,40,False,7.666,-76.681,"Puerta sur del eje bananero, caliente y comercial sobre la vía al mar. Su nombre embera significa río de guaduas: aquí la selva y el banano se dan la mano."
murindo,Murindó,Urabá,Fluvial,50,True,6.978,-76.817,Solo se llega por el río Atrato: aquí la moto se sube a una lancha y el rider se vuelve navegante. El sello más difícil del pasaporte y la prueba máxima del Patrón de Antioquia.
mutata,Mutatá,Urabá,Lejana,40,False,7.244,-76.436,"Donde la montaña se rinde ante la selva del Darién: última estribación de la cordillera antes del tapón. Ríos cristalinos, comunidades embera y pura vía al mar."
necocli,Necoclí,Urabá,Lejana,40,False,8.426,-76.784,"Playas, cocoteros y la puerta de las Américas: de su muelle salen las lanchas hacia el Darién. Caribe antioqueño en estado puro, con atardeceres que valen el viaje entero."
san-juan-de-uraba,San Juan de Urabá,Urabá,Lejana,40,False,8.759,-76.529,"Costero y platanero, sobre el mar Caribe entre Arboletes y Necoclí. Pueblo pesquero tranquilo donde Antioquia sabe a coco y brisa."
san-pedro-de-uraba,San Pedro de Urabá,Urabá,Lejana,40,False,8.276,-76.377,"Ganadero y sabanero, en el interior del Urabá norte lindando con Córdoba. Tierra de vaquería y cultura costeña: aquí el paisa se vuelve sabanero."
turbo,Turbo,Urabá,Lejana,40,False,8.093,-76.727,"El puerto de Antioquia sobre el golfo: distrito portuario, bananero y pesquero. Del muelle El Waffe salen las lanchas al Chocó; es la capital histórica del mar paisa."
vigia-del-fuerte,Vigía del Fuerte,Urabá,Fluvial,50,True,6.588,-76.896,"Frente a Quibdó, sobre el Atrato inmenso: sin carreteras, pura agua y selva. Junto a Murindó, el otro sello fluvial del pasaporte — llegar es una expedición."
barbosa,Barbosa,Valle de Aburrá,Metropolitana,10,False,6.439,-75.331,"El extremo norte del Valle de Aburrá, tierra de piñas y trapiches. Sus charcos del río Medellín aún limpio y su parque de las Aguas son el respiro de la ciudad."
bello,Bello,Valle de Aburrá,Metropolitana,10,False,6.339,-75.555,"La ciudad del cerro Quitasol y cuna de Marco Fidel Suárez, el hijo de la lavandera que llegó a presidente. Puerta norte del Valle, industrial y futbolera."
caldas,Caldas,Valle de Aburrá,Metropolitana,10,False,6.091,-75.636,"Puerta sur del Valle, alfarera e industrial, cuna de la locería antioqueña. De aquí arranca toda rodada hacia el Suroeste: el semáforo de salida de Medellín."
copacabana,Copacabana,Valle de Aburrá,Metropolitana,10,False,6.348,-75.508,La tierra de la piña y de las mangas verdes del norte del Valle. Su cerro El Ancón y sus charcos guardan la memoria campesina del Aburrá.
envigado,Envigado,Valle de Aburrá,Metropolitana,10,False,6.171,-75.582,"La ciudad señorial: cuna de Fernando González, el filósofo de Otraparte, y de la tradición más paisa del Valle. Sus charcos de El Salado y su empuje la hacen única."
girardota,Girardota,Valle de Aburrá,Metropolitana,10,False,6.379,-75.445,Tierra del Señor Caído y de los trapiches paneleros. Su basílica atrae miles de romeros y sus veredas conservan el sabor campesino a minutos de la ciudad.
itagui,Itagüí,Valle de Aburrá,Metropolitana,10,False,6.172,-75.611,"La ciudad industrial de Antioquia, textilera y comercial, la de mayor densidad del país. Pequeña en mapa y gigante en empuje: aquí se fabrica medio departamento."
la-estrella,La Estrella,Valle de Aburrá,Metropolitana,10,False,6.158,-75.643,"La Tablaza y el cerro del Romeral custodian este municipio verde del sur del Valle. Romería, siderúrgica y montañas de niebla a un paso de Medellín."
medellin,Medellín,Valle de Aburrá,Metropolitana,10,False,6.244,-75.581,"La capital de la montaña: ciudad de la eterna primavera, del metro y de la transformación más admirada de Latinoamérica. Aquí empieza y termina toda gran travesía antioqueña."
sabaneta,Sabaneta,Valle de Aburrá,Metropolitana,10,False,6.151,-75.616,"El municipio más pequeño de Colombia y uno de los de mayor sabor: María Auxiliadora, sus fondas y su dulzura paisa concentrada en pocos kilómetros cuadrados."
