id,marca,modelo,años,aceite_litros,aceite_spec,torque_filtro,cambio_aceite_km,llantas_psi,variantes,mantenimiento,fallas,created_at,marca_norm,modelo_norm
yamaha-xsr700-2018,Yamaha,XSR700,2018–presente,2.95 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,10000,"{'delantera': '33 PSI', 'trasera_solo': '36 PSI', 'trasera_cargada': '40 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}]","[{'nombre': 'Vibración característica CP2', 'sintoma': 'Temblor en ralentí y bajas RPM', 'solucion': 'Normal del motor bicilíndrico paralelo; no es falla'}, {'nombre': 'Luces traseras LED falla', 'sintoma': 'LED trasero apaga intermitente', 'solucion': 'Verificar conector bajo asiento; puede aflojarse por vibración'}]",2026-07-12T19:41:43.588962+00:00,yamaha,xsr700
yamaha-xsr900-2022,Yamaha,XSR900,2022–presente,3.2 L (con filtro),SAE 10W-40 JASO MA/MA2,17 Nm,10000,"{'delantera': '33 PSI', 'trasera_solo': '36 PSI', 'trasera_cargada': '40 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '40,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}]","[{'nombre': 'Crepitar escape al enfriar', 'sintoma': 'Ruido metálico al apagar', 'solucion': 'Normal expansión/contracción térmica del escape'}, {'nombre': 'Freno trasero muy sensible', 'sintoma': 'Bloqueo fácil en frenada', 'solucion': 'Ajustar posición pedal; calibrar sensibilidad ABS'}]",2026-07-12T19:41:43.588962+00:00,yamaha,xsr900
honda-cbr1000rrr-2020,Honda,CBR1000RR-R Fireblade,2020–presente,4.0 L (con filtro),SAE 10W-30 JASO MA/MA2,26 Nm,6000,"{'delantera': '33 PSI', 'trasera_solo': '26 PSI'}",CBR1000RR-R SP (suspensión Öhlins),"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '6,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '12,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '500 km (uso pista)'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '12,000 km'}]","[{'nombre': 'Temperatura radiador muy alta', 'sintoma': 'Sobrecalentamiento en tráfico urbano', 'solucion': 'No está diseñada para ciudad; usar ventilador auxiliar o evitar tráfico prolongado'}, {'nombre': 'Consumo de aceite en pista', 'sintoma': 'Nivel baja tras sesión en pista', 'solucion': 'Normal hasta 0.5L por sesión en uso extremo; verificar no haya fugas'}]",2026-07-12T19:42:19.166745+00:00,honda,cbr1000rr-r fireblade
honda-cb650r-2019,Honda,CB650R,2019–presente,3.6 L (con filtro),SAE 10W-30 JASO MA/MA2,26 Nm,8000,"{'delantera': '33 PSI', 'trasera_solo': '33 PSI', 'trasera_cargada': '36 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '8,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '8,000 km'}, {'item': 'Bujías', 'accion': 'Inspeccionar', 'intervalo': '16,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '32,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '16,000 km'}]","[{'nombre': 'Vibración en cuadro a altas RPM', 'sintoma': 'Temblor perceptible >8,000 RPM', 'solucion': 'Normal en inline-4 de 650; verificar montaje de motor'}, {'nombre': 'Pantalla pequeña con sol', 'sintoma': 'Difícil leer velocímetro', 'solucion': 'Usar visor anti-reflejo; actualizar firmware si disponible'}, {'nombre': 'Palanca embrague dura', 'sintoma': 'Fatiga en mano izquierda en ciudad', 'solucion': 'Ajustar precarga del embrague; lubricar cable'}]",2026-07-12T19:42:19.166745+00:00,honda,cb650r
honda-cbr650r-2019,Honda,CBR650R,2019–presente,3.6 L (con filtro),SAE 10W-30 JASO MA/MA2,26 Nm,8000,"{'delantera': '33 PSI', 'trasera_solo': '29 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '8,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '8,000 km'}, {'item': 'Bujías', 'accion': 'Inspeccionar', 'intervalo': '16,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '32,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '500 km (uso deportivo)'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '16,000 km'}]","[{'nombre': 'Temperatura alta en tráfico', 'sintoma': 'Calor excesivo en piernas', 'solucion': 'Normal en full fairing; asegurarse que ventilador funcione'}, {'nombre': 'Posición agresiva', 'sintoma': 'Dolor en muñecas', 'solucion': 'Normal en deportiva; considerar puños más ergonómicos'}]",2026-07-12T19:42:19.166745+00:00,honda,cbr650r
honda-nc750x-2021,Honda,NC750X,2021–presente,3.1 L (con filtro),SAE 10W-30 JASO MA/MA2,26 Nm,12000,"{'delantera': '33 PSI', 'trasera_solo': '36 PSI', 'trasera_cargada': '42 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '12,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '32,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '3 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}]","[{'nombre': 'DCT tirones a baja velocidad', 'sintoma': 'Enganche brusco en DCT modo A', 'solucion': 'Usar modo MT o D1 en ciudad; el DCT aprende con el tiempo'}, {'nombre': 'Ruido en baúl frontal', 'sintoma': 'Objetos sueltos en compartimento del tanque', 'solucion': 'Colocar funda de neopreno interior; el espacio resuena'}, {'nombre': 'Consumo irregular', 'sintoma': 'Autonomía varía mucho', 'solucion': 'El motor está optimizado para >70 km/h; en ciudad el consumo sube'}]",2026-07-12T19:42:19.166745+00:00,honda,nc750x
honda-cb750hornet-2023,Honda,CB750 Hornet,2023–presente,3.7 L (con filtro),SAE 10W-30 JASO MA/MA2,26 Nm,8000,"{'delantera': '33 PSI', 'trasera_solo': '33 PSI', 'trasera_cargada': '36 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '8,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '8,000 km'}, {'item': 'Bujías', 'accion': 'Inspeccionar', 'intervalo': '16,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '32,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}]","[{'nombre': 'Luz de error primer servicio', 'sintoma': 'Indicador de mantenimiento activo', 'solucion': 'Resetear en menú de ajustes tras realizar primer servicio a 600 km'}, {'nombre': 'Freno trasero sensible', 'sintoma': 'Fácil bloqueo parcial', 'solucion': 'Calibrar presión del pedal; el HSTC compensa pero ajustar sensibilidad'}]",2026-07-12T19:42:19.166745+00:00,honda,cb750 hornet
honda-africatwin-2020,Honda,Africa Twin CRF1100L,2020–presente,3.7 L (con filtro),SAE 10W-30 JASO MA/MA2,26 Nm,12000,"{'delantera': '36 PSI', 'trasera_solo': '42 PSI', 'trasera_cargada': '50 PSI'}","CRF1100L (manual), CRF1100L Adventure Sports (DCT/manual)","[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '12,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '32,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '3 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '24,000 km'}]","[{'nombre': 'Golpeteo en ralentí frío', 'sintoma': 'Ruido metálico al arrancar en frío', 'solucion': 'Normal hasta alcanzar temperatura; verificar nivel y calidad de aceite'}, {'nombre': 'DCT en off-road', 'sintoma': 'Enganche brusco en terreno irregular', 'solucion': 'Usar modo G (gravel) o MT; el DCT en modo A no es ideal en barro'}, {'nombre': 'Consumo elevado en off-road', 'sintoma': '>6L/100km en pistas', 'solucion': 'Normal en terreno difícil; en carretera debe estar entre 4.5–5.5L'}]",2026-07-12T19:42:19.166745+00:00,honda,africa twin crf1100l
honda-cb1000r-2021,Honda,CB1000R,2021–presente,3.8 L (con filtro),SAE 10W-30 JASO MA/MA2,26 Nm,12000,"{'delantera': '33 PSI', 'trasera_solo': '33 PSI', 'trasera_cargada': '36 PSI'}",CB1000R Black Edition,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '12,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '12,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '32,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '24,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '16,000 km'}]","[{'nombre': 'Vibración en manillar', 'sintoma': 'Temblor notable a velocidades medias', 'solucion': 'Revisar balanceo; los contrapesos OEM a veces se aflojan'}, {'nombre': 'Mapa Sport muy agresivo', 'sintoma': 'Tirón violento al abrir gas', 'solucion': 'Usar mapa Standard en ciudad; Sport para carretera abierta'}]",2026-07-12T19:42:19.166745+00:00,honda,cb1000r
bmw-f750gs-2018,BMW,F 750 GS,2018–presente,3.0 L (con filtro),SAE 15W-50 sintético (BMW Motorrad),10 Nm,10000,"{'delantera': '36 PSI', 'trasera_solo': '42 PSI', 'trasera_cargada': '50 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '20,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '20,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '40,000 km'}]","[{'nombre': 'Vibración en manillar a 100–110 km/h', 'sintoma': 'Resonancia en ese rango de velocidad', 'solucion': 'Revisar balanceo de ruedas; fenómeno conocido en esta serie'}, {'nombre': 'Error sensor bancada', 'sintoma': 'Luz MIL encendida', 'solucion': 'Conectar diagnóstico BMW Motoraad Diagnostic; limpiar sensores O2'}, {'nombre': 'Fuga menor junta tapa válvulas', 'sintoma': 'Olor a aceite quemado', 'solucion': 'Reemplazar junta; problema reportado en unidades tempranas'}]",2026-07-12T19:42:58.089705+00:00,bmw,f 750 gs
bmw-f850gs-2018,BMW,F 850 GS,2018–presente,3.5 L (con filtro),SAE 15W-50 sintético (BMW Motorrad),10 Nm,10000,"{'delantera': '36 PSI', 'trasera_solo': '42 PSI', 'trasera_cargada': '50 PSI'}",F 850 GS Adventure,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '20,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '20,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}, {'item': 'Válvulas', 'accion': 'Inspeccionar', 'intervalo': '40,000 km'}]","[{'nombre': 'Ruido mecánico frío', 'sintoma': 'Traqueteo al arrancar en frío', 'solucion': 'Esperar calentamiento completo; cambiar a aceite sintético 15W-50'}, {'nombre': 'Pantalla TFT con lag', 'sintoma': 'Menú tarda en responder', 'solucion': 'Actualizar firmware en concesionario BMW'}, {'nombre': 'Problema batería en reposo', 'sintoma': 'Batería descargada tras días sin uso', 'solucion': 'Usar cargador de mantenimiento; el sistema electrónico consume en reposo'}]",2026-07-12T19:42:58.089705+00:00,bmw,f 850 gs
bmw-f900r-2020,BMW,F 900 R,2020–presente,3.5 L (con filtro),SAE 15W-50 sintético (BMW Motorrad),10 Nm,10000,"{'delantera': '33 PSI', 'trasera_solo': '33 PSI', 'trasera_cargada': '36 PSI'}",,"[{'item': 'Aceite de motor', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Filtro de aceite', 'accion': 'Reemplazar', 'intervalo': '10,000 km'}, {'item': 'Bujías', 'accion': 'Reemplazar', 'intervalo': '20,000 km'}, {'item': 'Líquido de frenos', 'accion': 'Reemplazar', 'intervalo': '2 años'}, {'item': 'Filtro de aire', 'accion': 'Reemplazar', 'intervalo': '20,000 km'}, {'item': 'Cadena', 'accion': 'Lubricar / ajustar', 'intervalo': '1,000 km'}]","[{'nombre': 'Luz indicadora servicio', 'sintoma': 'CBS Service Due en pantalla', 'solucion': 'Resetear en concesionario o con diagnóstico GS-911 tras servicio'}, {'nombre': 'Calor motor en piernas', 'sintoma': 'Temperatura alta hacia conductor', 'solucion': 'Normal en bicilíndrico paralelo; deflectores de calor opcionales BMW'}]",2026-07-12T19:42:58.089705+00:00,bmw,f 900 r
